service_id,date,exception_type
B82689K1HPIGy-021,20200514,1
B82689K1HPIGy-021,20200515,1
B82689K1HPIGy-021,20200518,1
B82689K1HPIGy-021,20200519,1
B82689K1HPIGy-021,20200520,1
B82689K1HPIGy-021,20200521,1
B82689K1HPIGy-021,20200522,1
B82689K1HPIGy-021,20200525,1
B82689K1HPIGy-021,20200526,1
B82689K1HPIGy-021,20200527,1
B82689K1HPIGy-021,20200528,1
B82689K1HPIGy-021,20200529,1
B84594AVVHB-0011,20200426,1
B84594AVVHB-0011,20200501,1
B84594AVVHB-0011,20200503,1
B84594AVVHB-0011,20200510,1
B84594AVVHB-0011,20200517,1
B84594AVVHB-0011,20200524,1
B84594AVVHB-0011,20200531,1
B84594AVVHB-0011,20200601,1
B86472ASZMAA-081,20200425,1
B86472ASZMAA-081,20200502,1
B86472ASZMAA-081,20200509,1
B86472ASZMAA-081,20200516,1
B86472ASZMAA-081,20200523,1
B86472ASZMAA-081,20200530,1
B87093K1HPMAA-071,20200422,1
B87093K1HPMAA-071,20200423,1
B87093K1HPMAA-071,20200424,1
B87093K1HPMAA-071,20200427,1
B87093K1HPMAA-071,20200428,1
B87093K1HPMAA-071,20200429,1
B87093K1HPMAA-071,20200430,1
B87093K1HPMAA-071,20200504,1
B87093K1HPMAA-071,20200505,1
B87093K1HPMAA-071,20200506,1
B87093K1HPMAA-071,20200507,1
B87093K1HPMAA-071,20200508,1
B87093K1HPMAA-071,20200511,1
B87093K1HPMAA-071,20200512,1
B87093K1HPMAA-071,20200513,1
B87093K1HPMAA-071,20200514,1
B87093K1HPMAA-071,20200515,1
B87093K1HPMAA-071,20200518,1
B87093K1HPMAA-071,20200519,1
B87093K1HPMAA-071,20200520,1
B87093K1HPMAA-071,20200521,1
B87093K1HPMAA-071,20200522,1
B87093K1HPMAA-071,20200525,1
B87093K1HPMAA-071,20200526,1
B87093K1HPMAA-071,20200527,1
B87093K1HPMAA-071,20200528,1
B87093K1HPMAA-071,20200529,1
B88284ASZHB-0011,20200425,1
B88284ASZHB-0011,20200502,1
B88284ASZHB-0011,20200509,1
B88284ASZHB-0011,20200516,1
B88284ASZHB-0011,20200523,1
B88284ASZHB-0011,20200530,1
B88285AVVHB-0011,20200426,1
B88285AVVHB-0011,20200501,1
B88285AVVHB-0011,20200503,1
B88285AVVHB-0011,20200510,1
B88285AVVHB-0011,20200517,1
B88285AVVHB-0011,20200524,1
B88285AVVHB-0011,20200531,1
B88285AVVHB-0011,20200601,1
B88336ASZIGy-011,20200425,1
B88336ASZIGy-011,20200430,1
B88336ASZIGy-011,20200502,1
B88336ASZIGy-011,20200509,1
B88336ASZIGy-011,20200516,1
B88336ASZIGy-011,20200523,1
B88336ASZIGy-011,20200530,1
B88349AVCIGy-011,20200531,1
B88349AVCIGy-011,20200601,1
B88391K1VCIGy-011,20200422,1
B88391K1VCIGy-011,20200423,1
B88391K1VCIGy-011,20200426,1
B88391K1VCIGy-011,20200427,1
B88391K1VCIGy-011,20200428,1
B88391K1VCIGy-011,20200429,1
B88391K1VCIGy-011,20200503,1
B88391K1VCIGy-011,20200504,1
B88391K1VCIGy-011,20200505,1
B88391K1VCIGy-011,20200506,1
B88391K1VCIGy-011,20200507,1
B88391K1VCIGy-011,20200510,1
B88391K1VCIGy-011,20200511,1
B88391K1VCIGy-011,20200512,1
B88391K1VCIGy-011,20200513,1
B88391K1VCIGy-011,20200514,1
B88391K1VCIGy-011,20200517,1
B88391K1VCIGy-011,20200518,1
B88391K1VCIGy-011,20200519,1
B88391K1VCIGy-011,20200520,1
B88391K1VCIGy-011,20200521,1
B88391K1VCIGy-011,20200524,1
B88391K1VCIGy-011,20200525,1
B88391K1VCIGy-011,20200526,1
B88391K1VCIGy-011,20200527,1
B88391K1VCIGy-011,20200528,1
B88428ASZKM-0091,20200425,1
B88428ASZKM-0091,20200502,1
B88428ASZKM-0091,20200509,1
B88428ASZKM-0091,20200516,1
B88428ASZKM-0091,20200523,1
B88428ASZKM-0091,20200530,1
B89732ASZHB-0011,20200425,1
B89732ASZHB-0011,20200502,1
B89732ASZHB-0011,20200509,1
B89732ASZHB-0011,20200516,1
B89732ASZHB-0011,20200523,1
B89732ASZHB-0011,20200530,1
B89733AVVHB-0011,20200426,1
B89733AVVHB-0011,20200501,1
B89733AVVHB-0011,20200503,1
B89733AVVHB-0011,20200510,1
B89733AVVHB-0011,20200517,1
B89733AVVHB-0011,20200524,1
B89733AVVHB-0011,20200531,1
B89733AVVHB-0011,20200601,1
B91686AVVKM-0071,20200426,1
B91686AVVKM-0071,20200501,1
B91686AVVKM-0071,20200503,1
B91686AVVKM-0071,20200510,1
B91686AVVKM-0071,20200517,1
B91686AVVKM-0071,20200524,1
B91686AVVKM-0071,20200531,1
B91686AVVKM-0071,20200601,1
B91688ASZKM-0071,20200425,1
B91688ASZKM-0071,20200502,1
B91688ASZKM-0071,20200509,1
B91688ASZKM-0071,20200516,1
B91688ASZKM-0071,20200523,1
B91688ASZKM-0071,20200530,1
B91744APPIGy-011,20200501,1
B91744APPIGy-011,20200508,1
B91744APPIGy-011,20200515,1
B91744APPIGy-011,20200522,1
B91744APPIGy-011,20200529,1
B91745ASZKZ-0071,20200425,1
B91746ASZIGy-011,20200430,1
B91746ASZIGy-011,20200502,1
B91746ASZIGy-011,20200509,1
B91746ASZIGy-011,20200516,1
B91746ASZIGy-011,20200523,1
B91746ASZIGy-011,20200530,1
B92030AVVKZ-0071,20200426,1
B92042ASZKZ-0061,20200425,1
B92042ASZKZ-0061,20200502,1
B92042ASZKZ-0061,20200509,1
B92042ASZKZ-0061,20200516,1
B92042ASZKZ-0061,20200523,1
B92042ASZKZ-0061,20200530,1
B92042ASZKZ-0091,20200425,1
B92042ASZKZ-0091,20200502,1
B92042ASZKZ-0091,20200509,1
B92042ASZKZ-0091,20200516,1
B92042ASZKZ-0091,20200523,1
B92042ASZKZ-0091,20200530,1
