pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
LM4KVA-LM4KV1,3,LM4KVA,LM4KV1,90,-1
LM4KVF-LM4KV1,3,LM4KVF,LM4KV1,90,-1
LM4KVA-LM4KV2,3,LM4KVA,LM4KV2,90,-1
LM3NYI-LM3NY1,3,LM3NYI,LM3NY1,30,-1
LM3LE2-F02614,1,LM3LE2,F02614,30,-1
LM3NYI-LM3NY2,3,LM3NYI,LM3NY2,120,-1
LM3LE2-F02613,1,LM3LE2,F02613,30,-1
LM1OKV-F01085,1,LM1OKV,F01085,30,-1
LMXKPE-LM2KP1,3,LMXKPE,LM2KP1,60,-1
LMXKPH-LM2KP1,3,LMXKPH,LM2KP1,30,-1
LM3NYF-LM3NY1,3,LM3NYF,LM3NY1,30,-1
LM3NYF-LM3NY2,3,LM3NYF,LM3NY2,90,-1
LM3AH2-LM3AHA,3,LM3AH2,LM3AHA,120,-1
LM2ASE-LM2AS1,3,LM2ASE,LM2AS1,30,-1
LM3AH2-LM3AHD,3,LM3AH2,LM3AHD,90,-1
LM2ASH-LM2AS1,3,LM2ASH,LM2AS1,30,-1
LM3AH2-LM3AHE,3,LM3AH2,LM3AHE,60,60
F00963-F00955,2,F00963,F00955,120,-1
LM3AH2-LM3AHB,3,LM3AH2,LM3AHB,180,-1
F00963-F00954,2,F00963,F00954,120,-1
LM3AH2-LM3AHC,3,LM3AH2,LM3AHC,180,-1
LM3AHE-LM3AH2,3,LM3AHE,LM3AH2,60,60
LM3AHE-LM3AH1,3,LM3AHE,LM3AH1,120,-1
056229-L056213,1,056229,L056213,60,90
LM3AH2-LM3AHF,3,LM3AH2,LM3AHF,30,60
LM3AH2-LM3AHG,3,LM3AH2,LM3AHG,60,-1
LMXDFA-LM1DF3,3,LMXDFA,LM1DF3,60,-1
LM4KP3-F01336,1,LM4KP3,F01336,30,-1
LM2DF1-LMXDFB,3,LM2DF1,LMXDFB,60,-1
LM2DF1-LMXDFA,3,LM2DF1,LMXDFA,60,-1
F00962-LM1DF3,1,F00962,LM1DF3,90,-1
F00963-F00960,2,F00963,F00960,120,-1
LM2DF1-LMXDFD,3,LM2DF1,LMXDFD,60,-1
LM2DF1-LMXDFC,3,LM2DF1,LMXDFC,30,-1
F00962-LM1DF1,1,F00962,LM1DF1,30,-1
F00963-F00961,2,F00963,F00961,120,-1
LM2DF1-LMXDFE,3,LM2DF1,LMXDFE,60,-1
LM3CND-LM3CN1,3,LM3CND,LM3CN1,30,-1
LM2PF2-F01324,1,LM2PF2,F01324,30,60
F00062-LM2BT1,1,F00062,LM2BT1,60,-1
LMXDFE-LM3DF1,3,LMXDFE,LM3DF1,60,-1
L008159-F02683,1,L008159,F02683,30,60
LM3LED-LM3LE2,3,LM3LED,LM3LE2,30,-1
LM4MKG-LM4MK2,3,LM4MKG,LM4MK2,120,-1
LM4MKG-LM4MK1,3,LM4MKG,LM4MK1,30,-1
L008159-F02682,1,L008159,F02682,30,60
LMXKPG-LM4KP2,3,LMXKPG,LM4KP2,30,-1
056230-L056213,1,056230,L056213,60,90
LM3NY1-LM3NYA,3,LM3NY1,LM3NYA,120,-1
LM3NY1-LM3NYB,3,LM3NY1,LM3NYB,120,-1
LM3NY1-LM3NYC,3,LM3NY1,LM3NYC,120,-1
LM3DGB-LM3DG1,3,LM3DGB,LM3DG1,30,60
LM3NY1-LM3NYD,3,LM3NY1,LM3NYD,90,-1
LMXKPG-LM4KP3,3,LMXKPG,LM4KP3,30,-1
LM2PF2-F01325,1,LM2PF2,F01325,30,60
F01102-LM1HTV,1,F01102,LM1HTV,30,-1
LM3NYA-LM3NY1,3,LM3NYA,LM3NY1,120,-1
LM3NYA-LM3NY2,3,LM3NYA,LM3NY2,30,-1
LM1DF3-LMXDFE,3,LM1DF3,LMXDFE,60,-1
F02684-L008162,1,F02684,L008162,30,60
LM3AHB-LM3AH2,3,LM3AHB,LM3AH2,180,-1
LM1DF3-LMXDFD,3,LM1DF3,LMXDFD,60,-1
LM1DF3-LMXDFC,3,LM1DF3,LMXDFC,30,-1
LM1BZV-F00996,1,LM1BZV,F00996,30,-1
LM1DF3-LMXDFB,3,LM1DF3,LMXDFB,60,-1
F01336-056233,2,F01336,056233,75,105
LM1DF3-LMXDFA,3,LM1DF3,LMXDFA,60,-1
F01336-056234,2,F01336,056234,75,105
LM3AHB-LM3AH1,3,LM3AHB,LM3AH1,30,-1
F01100-LM1BUV,1,F01100,LM1BUV,30,-1
F02681-LM3DG1,1,F02681,LM3DG1,30,-1
F01019-LM2AS1,1,F01019,LM2AS1,60,-1
F01325-LM2PF1,1,F01325,LM2PF1,30,-1
056234-LM4KP3,1,056234,LM4KP3,30,60
LM1DF2-F00963,1,LM1DF2,F00963,30,-1
056234-LM4KP2,1,056234,LM4KP2,30,60
F01325-LM2PF2,1,F01325,LM2PF2,30,60
F00965-LM1VTM,1,F00965,LM1VTM,30,-1
LMXDFB-LM2DF1,3,LMXDFB,LM2DF1,60,-1
LM2BL1-F01291,1,LM2BL1,F01291,60,-1
LM2AS1-F01018,1,LM2AS1,F01018,60,-1
LM2AS1-F01019,1,LM2AS1,F01019,60,-1
F00960-LM2DF1,1,F00960,LM2DF1,30,-1
LM2BL1-F01292,1,LM2BL1,F01292,60,-1
F02614-LM3LE1,1,F02614,LM3LE1,30,-1
LM1VTM-F00965,1,LM1VTM,F00965,30,-1
F02614-LM3LE2,1,F02614,LM3LE2,30,-1
LM3AH2-F02638,1,LM3AH2,F02638,30,30
LM4KF2-056216,1,LM4KF2,056216,60,120
F01101-LM1BUM,1,F01101,LM1BUM,30,-1
056225-LM4FT2,1,056225,LM4FT2,90,90
056225-LM4FT1,1,056225,LM4FT1,60,-1
056220-LM4UK1,1,056220,LM4UK1,60,90
LM4BP2-056218,1,LM4BP2,056218,60,-1
LM4BP2-056217,1,LM4BP2,056217,60,-1
LM1OPM-F01080,1,LM1OPM,F01080,30,-1
LM3LEG-LM3LE1,3,LM3LEG,LM3LE1,30,-1
LM4MKA-LM4MK1,3,LM4MKA,LM4MK1,30,-1
LM4MKE-LM4MK2,3,LM4MKE,LM4MK2,120,-1
LM4KV2-LM4KVF,3,LM4KV2,LM4KVF,90,-1
LM4MKE-LM4MK1,3,LM4MKE,LM4MK1,60,-1
LM4MKA-LM4MK2,3,LM4MKA,LM4MK2,90,-1
LM4KV2-LM4KVG,3,LM4KV2,LM4KVG,90,-1
LMXKPM-LM4KP3,3,LMXKPM,LM4KP3,90,-1
LMXKPM-LM4KP2,3,LMXKPM,LM4KP2,90,-1
LM4KFD-LM4KF2,3,LM4KFD,LM4KF2,150,-1
LM4KFD-LM4KF3,3,LM4KFD,LM4KF3,120,-1
F01095-LM1KKV,1,F01095,LM1KKV,30,-1
LM3LEC-LM3LE2,3,LM3LEC,LM3LE2,30,-1
LM4KFD-LM4KF1,3,LM4KFD,LM4KF1,180,-1
056234-F01336,2,056234,F01336,75,105
056234-F01335,2,056234,F01335,75,105
LM4KFD-LM4KF4,3,LM4KFD,LM4KF4,90,-1
LMXKPI-LM4KP3,3,LMXKPI,LM4KP3,30,-1
F01092-LM1VUV,1,F01092,LM1VUV,30,-1
F01103-LM1HTM,1,F01103,LM1HTM,30,-1
LM2SZ1-F02480,1,LM2SZ1,F02480,60,-1
LMXKPI-LM4KP2,3,LMXKPI,LM4KP2,30,-1
LM2SZ1-F02481,1,LM2SZ1,F02481,60,-1
F01079-LM1OPV,1,F01079,LM1OPV,30,-1
LM2BLG-LM2BL1,3,LM2BLG,LM2BL1,30,-1
LM2BLC-LM2BL1,3,LM2BLC,LM2BL1,30,-1
LM3DG1-LM3DGF,3,LM3DG1,LM3DGF,30,60
LM4MK1-LM4MKB,3,LM4MK1,LM4MKB,60,-1
LM3DG1-LM3DGE,3,LM3DG1,LM3DGE,30,-1
LM4KF4-LM4KFA,3,LM4KF4,LM4KFA,90,120
LM4MK1-LM4MKA,3,LM4MK1,LM4MKA,30,-1
LM4KF4-LM4KFB,3,LM4KF4,LM4KFB,90,-1
LM4MK1-LM4MKD,3,LM4MK1,LM4MKD,60,-1
F01253-LM3NT1,1,F01253,LM3NT1,30,-1
LM4KF4-LM4KFC,3,LM4KF4,LM4KFC,90,-1
LM4MK1-LM4MKC,3,LM4MK1,LM4MKC,60,-1
LM4KF4-LM4KFD,3,LM4KF4,LM4KFD,90,-1
LM2OV1-F01749,1,LM2OV1,F01749,30,30
F00962-F00955,2,F00962,F00955,120,-1
LM3LE2-LM3LEC,3,LM3LE2,LM3LEC,30,-1
LM1OKM-F01086,1,LM1OKM,F01086,30,-1
LM3LE2-LM3LEB,3,LM3LE2,LM3LEB,30,-1
F01086-LM1OKM,1,F01086,LM1OKM,30,-1
LM3LE2-LM3LED,3,LM3LE2,LM3LED,30,-1
LM3DG1-LM3DGB,3,LM3DG1,LM3DGB,30,60
LM3DG1-LM3DGA,3,LM3DG1,LM3DGA,30,-1
LM3LE2-LM3LEA,3,LM3LE2,LM3LEA,30,-1
LM3DG1-LM3DGD,3,LM3DG1,LM3DGD,30,-1
LM3DG1-LM3DGC,3,LM3DG1,LM3DGC,30,-1
LM4KVG-LM4KV2,3,LM4KVG,LM4KV2,90,-1
LM4KVG-LM4KV1,3,LM4KVG,LM4KV1,90,-1
LM4KVB-LM4KV2,3,LM4KVB,LM4KV2,60,-1
LM3NT1-LM3NTB,3,LM3NT1,LM3NTB,30,-1
LM4KVB-LM4KV1,3,LM4KVB,LM4KV1,60,-1
LM3NT1-LM3NTA,3,LM3NT1,LM3NTA,30,-1
LM3NT1-LM3NTD,3,LM3NT1,LM3NTD,30,-1
LM3NT1-LM3NTC,3,LM3NT1,LM3NTC,30,-1
LM3NYJ-LM3NY2,3,LM3NYJ,LM3NY2,150,-1
LM3LE1-F02614,1,LM3LE1,F02614,30,-1
LM3LE1-F02613,1,LM3LE1,F02613,30,-1
LM3NYJ-LM3NY1,3,LM3NYJ,LM3NY1,60,-1
LM2KP1-F01335,1,LM2KP1,F01335,30,-1
LMXKPI-LM2KP1,3,LMXKPI,LM2KP1,30,-1
LMXKPJ-LM2KP1,3,LMXKPJ,LM2KP1,30,-1
LMXKPD-LM2KP1,3,LMXKPD,LM2KP1,60,-1
LM2ASJ-LM2AS1,3,LM2ASJ,LM2AS1,30,-1
LM2ASD-LM2AS1,3,LM2ASD,LM2AS1,30,-1
LM3AH1-LM3AHB,3,LM3AH1,LM3AHB,30,-1
LM2ASI-LM2AS1,3,LM2ASI,LM2AS1,30,-1
LM3AH1-LM3AHA,3,LM3AH1,LM3AHA,60,-1
F00961-F00955,2,F00961,F00955,90,-1
LM3AH1-LM3AHD,3,LM3AH1,LM3AHD,90,-1
F00962-F00954,2,F00962,F00954,120,-1
F00961-F00954,2,F00961,F00954,90,-1
LM3AH1-LM3AHC,3,LM3AH1,LM3AHC,30,60
F00961-F00963,2,F00961,F00963,120,-1
F00961-F00962,2,F00961,F00962,120,-1
LM4MK3-056221,1,LM4MK3,056221,60,60
F01289-056227,2,F01289,056227,120,-1
LM4MK3-056222,1,LM4MK3,056222,60,60
F01289-056228,2,F01289,056228,120,-1
F02685-L008162,1,F02685,L008162,30,60
LM3AHA-LM3AH1,3,LM3AHA,LM3AH1,60,-1
LM3AHA-LM3AH2,3,LM3AHA,LM3AH2,120,-1
LM1MUM-F02888,1,LM1MUM,F02888,15,-1
F01232-L008084,1,F01232,L008084,60,-1
LM3NT1-LM3NTF,3,LM3NT1,LM3NTF,30,-1
LM3NT1-LM3NTE,3,LM3NT1,LM3NTE,30,-1
F00954-LM3DF1,1,F00954,LM3DF1,30,-1
LM3CNB-LM3CN1,3,LM3CNB,LM3CN1,30,-1
LM4KV2-LM4KVB,3,LM4KV2,LM4KVB,60,-1
LM4KV2-LM4KVC,3,LM4KV2,LM4KVC,60,-1
LM4KV2-LM4KVD,3,LM4KV2,LM4KVD,30,-1
LM4KV2-LM4KVE,3,LM4KV2,LM4KVE,60,-1
LM3CNH-LM3CN1,3,LM3CNH,LM3CN1,30,-1
LM4KV2-LM4KVA,3,LM4KV2,LM4KVA,90,-1
F00063-LM2BT1,1,F00063,LM2BT1,60,-1
LMXKPN-LM4KP2,3,LMXKPN,LM4KP2,90,-1
LMXKPN-LM4KP3,3,LMXKPN,LM4KP3,90,-1
LM3LEH-LM3LE1,3,LM3LEH,LM3LE1,30,-1
LM1BZM-F00997,1,LM1BZM,F00997,30,-1
LM3KV1-F01289,1,LM3KV1,F01289,60,-1
LM3DGF-LM3DG1,3,LM3DGF,LM3DG1,30,60
LM4MKF-LM4MK2,3,LM4MKF,LM4MK2,120,-1
LM4MKF-LM4MK1,3,LM4MKF,LM4MK1,60,-1
F01096-LM1KKM,1,F01096,LM1KKM,30,-1
056233-F01335,2,056233,F01335,75,105
056233-F01336,2,056233,F01336,75,105
LM1BUV-F01100,1,LM1BUV,F01100,30,-1
LM4KV2-056228,1,LM4KV2,056228,90,90
LM4KV2-056227,1,LM4KV2,056227,90,90
LMXKPC-LM4KP2,3,LMXKPC,LM4KP2,30,-1
L056214-056231,1,L056214,056231,30,60
F01080-LM1OPM,1,F01080,LM1OPM,30,-1
LM3NY2-F00936,1,LM3NY2,F00936,60,-1
LM3KV1-F01290,1,LM3KV1,F01290,60,-1
L056214-056232,1,L056214,056232,30,60
LM3NY2-F00937,1,LM3NY2,F00937,60,-1
LM2OV1-LM2OVE,3,LM2OV1,LM2OVE,30,-1
LM2OV1-LM2OVD,3,LM2OV1,LM2OVD,0,-1
LM2OV1-LM2OVC,3,LM2OV1,LM2OVC,30,-1
LM2OV1-LM2OVB,3,LM2OV1,LM2OVB,30,-1
LM3AHF-LM3AH2,3,LM3AHF,LM3AH2,30,60
LM2OV1-LM2OVA,3,LM2OV1,LM2OVA,30,-1
LM3NYE-LM3NY2,3,LM3NYE,LM3NY2,90,-1
LM3NYE-LM3NY1,3,LM3NYE,LM3NY1,30,-1
LMXKPC-LM4KP3,3,LMXKPC,LM4KP3,30,-1
LM2KP1-F01336,1,LM2KP1,F01336,30,-1
LM2OVA-LM2OV1,3,LM2OVA,LM2OV1,30,-1
LM3AHF-LM3AH1,3,LM3AHF,LM3AH1,180,-1
LMXDFB-LM1DF3,3,LMXDFB,LM1DF3,60,-1
LMXDFA-LM3DF1,3,LMXDFA,LM3DF1,60,-1
LM4MKK-LM4MK1,3,LM4MKK,LM4MK1,90,-1
LM4MKK-LM4MK2,3,LM4MKK,LM4MK2,60,-1
F02637-LM3AH1,1,F02637,LM3AH1,30,60
