pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
F00960-F00955,2,F00960,F00955,90,-1
F00960-F00954,2,F00960,F00954,90,-1
LM3NT1-F01252,1,LM3NT1,F01252,30,-1
056219-LM4UK1,1,056219,LM4UK1,60,90
LM3NYD-LM3NY2,3,LM3NYD,LM3NY2,60,-1
LM3NT1-F01253,1,LM3NT1,F01253,30,-1
LMXKPC-LM2KP1,3,LMXKPC,LM2KP1,60,-1
LMXKPB-LM4KP2,3,LMXKPB,LM4KP2,30,-1
LM3NYD-LM3NY1,3,LM3NYD,LM3NY1,90,-1
LMXKPB-LM4KP3,3,LMXKPB,LM4KP3,30,-1
LM2OVB-LM2OV1,3,LM2OVB,LM2OV1,30,-1
F01742-LM2PU1,1,F01742,LM2PU1,30,30
LM3AHG-LM3AH2,3,LM3AHG,LM3AH2,60,-1
LM3AHG-LM3AH1,3,LM3AHG,LM3AH1,180,-1
LM3CNF-LM3CN1,3,LM3CNF,LM3CN1,30,-1
LMXDFC-LM1DF3,3,LMXDFC,LM1DF3,30,-1
LMXDFB-LM3DF1,3,LMXDFB,LM3DF1,60,-1
LM4MK2-LM4MKD,3,LM4MK2,LM4MKD,120,-1
LM4MK2-LM4MKE,3,LM4MK2,LM4MKE,120,-1
LM4MK2-LM4MKB,3,LM4MK2,LM4MKB,120,-1
LM4MK2-LM4MKC,3,LM4MK2,LM4MKC,120,-1
F02638-LM3AH2,1,F02638,LM3AH2,30,30
056218-LM4BP1,1,056218,LM4BP1,90,90
056218-LM4BP2,1,056218,LM4BP2,60,-1
LM4MK2-LM4MKA,3,LM4MK2,LM4MKA,90,-1
LM2BT1-F00062,1,LM2BT1,F00062,60,-1
LM2BT1-F00063,1,LM2BT1,F00063,60,-1
LM4MKB-LM4MK1,3,LM4MKB,LM4MK1,60,-1
L056213-056229,1,L056213,056229,60,90
LM4MKB-LM4MK2,3,LM4MKB,LM4MK2,120,-1
LM1BUM-F01101,1,LM1BUM,F01101,30,-1
LM3LEI-LM3LE1,3,LM3LEI,LM3LE1,30,-1
F02887-LM1MUV,1,F02887,LM1MUV,30,-1
LM4KFA-LM4KF4,3,LM4KFA,LM4KF4,90,120
LM3DF1-LMXDFA,3,LM3DF1,LMXDFA,60,-1
LM4KFA-LM4KF3,3,LM4KFA,LM4KF3,90,120
LM3LEA-LM3LE2,3,LM3LEA,LM3LE2,30,-1
